              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction°  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Saline Concentration%  Road Condition Lufftlogic  Surface Temperature°F  Freezing Temperature°F  Sub Surface Temperature 1°F  Water Film Heightmil  Sub Surface Temperature 2°F  Road Condition Lufft IRS31Prologic
2022-11-16T00:05:00+00:00       93.649742                            0.0       346.448486          35.203114    33.555878             3.774674                        993.130432             2.468619                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T00:15:00+00:00       92.405670                            0.0       315.873901          34.780373    32.802673             2.796484                        993.032959             2.824214                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T00:25:00+00:00       92.075470                            0.0       303.951904          34.638493    32.572903             3.590178                        993.066040             3.276034                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T00:35:00+00:00       92.301300                            0.0       293.418823          34.496124    32.492832             2.418950                        992.989929             3.001709                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T00:45:00+00:00       92.165512                            0.0       303.775116          34.353264    32.314651             3.157174                        992.949951             3.318920                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T00:55:00+00:00       93.059074                            0.0       296.011902          34.209908    32.412575             4.558600                        992.916870             4.674252                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T01:05:00+00:00       93.181175                            0.0       290.935547          34.271408    32.506214             3.002219                        992.843262             3.695613                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T01:15:00+00:00       92.833191                            0.0       305.633850          34.353264    32.494255             4.005846                        992.795654             3.487173                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T01:25:00+00:00       92.916756                            0.0       341.056122          34.353264    32.516655             4.559321                        992.865295             3.872521                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T01:35:00+00:00       92.749702                            0.0       307.851685          34.353264    32.471863             3.771066                        992.804565             3.931725                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T01:45:00+00:00       93.309769                           70.0       328.897705          34.209908    32.479527             4.208226                        992.837708             4.366659                    23.622047                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T01:55:00+00:00       93.675179                           70.0       316.429749          34.066059    32.434052             3.997551                        992.747253             4.191571                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T02:05:00+00:00       94.232460                            0.0       336.008331          33.901051    32.417816             4.014590                        992.739685             4.481703                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T02:15:00+00:00       94.319832                           70.0       321.412506          33.921711    32.461399             3.883322                        992.784912             3.639134                    23.622047                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T02:25:00+00:00       94.649918                           70.0       327.042725          34.209908    32.834763             2.913826                        992.749207             3.500998                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T02:35:00+00:00       94.233360                           70.0       344.204468          34.066059    32.581947             3.955826                        992.794556             3.711168                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T02:45:00+00:00       94.007195                            0.0       329.288666          34.209908    32.664955             3.256576                        992.814087             3.305614                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T02:55:00+00:00       94.160408                           70.0       321.026978          34.127773    32.623955             3.604006                        992.762329             3.669478                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T03:05:00+00:00       93.617065                            0.0       334.858185          34.373703    32.723949             4.643878                        992.678772             2.451899                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T03:15:00+00:00       92.805374                           70.0       335.536194          34.353264    32.486797             1.801743                        992.598633             3.036710                    23.622047                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
2022-11-16T03:25:00+00:00       92.861031                            0.0       319.263489          34.353264    32.501724             3.252388                        992.733032             2.662080                     0.000000                    0.0                        0.0                    0.0                     0.0                          0.0                   0.0                          0.0                                 0.0
