              MeasureTime  Rel. Humidity%  Wind Direction�  Brightnesslx  Air Temperature�F  Wind Speed (act)mph  Precipitation Intensityin/h  Visibilitymiles  Saline Concentration%  Friction  Ice Percent%  Road Condition Lufft IRS31Prologic  Surface Temperature�F  Freezing Temperature�F  Sub Surface Temperature 3�F  Water Film Heightmil  ground temperature (0")�F  ground temperature (3")�F  ground temperature (6")�F  ground temperature (9")�F  ground temperature (12")�F  ground temperature (18")�F  ground temperature (24")�F  ground temperature (30")�F  ground temperature (36")�F  ground temperature (42")�F
2023-04-01T04:00:00+00:00       99.055255         0.581044           0.0          35.502750                  0.0                     0.000079         0.446144               0.000000  0.798214      0.000000                                15.0              37.949707               31.820000                         84.0              3.729207                        40.0                   35.150002                   34.700001                   34.358002                    34.484001                    34.088001                    34.214001                    34.430000                    34.880001                    35.113998
2023-04-01T04:10:00+00:00       98.548541         0.574863           0.0          34.961540                  0.0                     0.005197         0.281481               0.000000  0.707077      0.000000                                20.0              35.968937               31.820000                         84.0             19.329479                        40.0                   35.096001                   34.700001                   34.394001                    34.466000                    34.124001                    34.231998                    34.430000                    34.862000                    35.113998
2023-04-01T04:20:00+00:00       98.591272         0.587225           0.0          34.439563                  0.0                     0.000118         0.311307               0.000000  0.713345      0.000000                                20.0              35.401230               31.820000                         84.0             18.256643                        40.0                   35.096001                   34.664001                   34.394001                    34.520000                    34.124001                    34.231998                    34.394001                    34.897999                    35.096001
2023-04-01T04:29:00+00:00       98.569910         0.587225           0.0          34.024730                  0.0                     0.000236         0.198217               0.000000  0.707077      0.000000                                40.0              34.570332               31.820000                         84.0             19.329479                        40.0                   35.042000                   34.717999                   34.430000                    34.537998                    34.160000                    34.214001                    34.430000                    34.844002                    35.132000
2023-04-01T04:40:00+00:00       98.655377         0.574863           0.0          33.420335                  0.0                     0.000709         0.244820               0.000000  0.728230      0.000000                                20.0              34.713810               31.820000                         84.0             15.708662                        40.0                   35.023998                   34.681999                   34.375999                    34.537998                    34.160000                    34.285999                    34.466000                    34.880001                    35.113998
2023-04-01T04:49:00+00:00       98.623328         0.581044           0.0          32.994509                  0.0                     0.001654         0.280860               0.000000  0.700840      0.000000                                40.0              33.817554               31.820000                         84.0             20.397125                        40.0                   34.987999                   34.664001                   34.394001                    34.520000                    34.124001                    34.268002                    34.430000                    34.862000                    35.096001
2023-04-01T04:59:00+00:00       98.725586         0.581044           0.0          32.414839                  0.0                     0.001614         0.319385               0.000000  0.717262      0.000000                                40.0              32.979591               31.820000                         84.0             17.586123                        40.0                   34.897999                   34.664001                   34.375999                    34.537998                    34.124001                    34.268002                    34.447998                    34.897999                    35.077999
2023-04-01T05:09:00+00:00       98.968262         0.581044           0.0          32.057695                  0.0                     0.001220         0.432474               0.000000  0.725096      0.000000                                40.0              33.198765               31.820000                         84.0             16.245079                        40.0                   34.790001                   34.646000                   34.411999                    34.556000                    34.141998                    34.268002                    34.447998                    34.880001                    35.132000
2023-04-01T05:20:00+00:00       99.056781         0.581044           0.0          31.953297                  0.0                     0.000394         0.621371               0.000000  0.667226      0.000000                                40.0              32.741638               31.820000                         84.0             26.150995                        40.0                   34.736000                   34.627998                   34.375999                    34.556000                    34.160000                    34.250000                    34.466000                    34.844002                    35.113998
2023-04-01T05:29:00+00:00       99.099518         0.574863           0.0          31.854398                  0.0                     0.000197         0.617643               0.000000  0.682280      0.000000                                40.0              32.741638               31.820000                         84.0             23.574118                        40.0                   34.717999                   34.574001                   34.411999                    34.556000                    34.160000                    34.304001                    34.411999                    34.880001                    35.096001
