              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction°  Air Temperature°F  Dew Point°F  Wind Speed (act)mph  Wind Speed (avg)mph  Wind Speed (max)mph  Absolute Atmospheric PressurehPa  Precipitation Intensityin/h  Saline Concentration%  Friction  Ice Percent%  Road Condition Lufft IRS31Prologic  Surface Temperature°F  Freezing Temperature°F  Sub Surface Temperature 1°F  Water Film Heightmil
2023-05-01T04:03:00+00:00       87.606277                           60.0       285.928619          40.885757    37.490677            13.848111            12.420263            22.002674                        972.473572                     0.000000                    0.0  0.813566           0.0                                15.0              41.260780                   31.82                    51.483826              1.101353
2023-05-01T04:13:00+00:00       88.224220                            0.0       274.330261          40.739578    37.525654            10.391090            13.123247            22.066143                        972.505981                     0.000000                    0.0  0.818612           0.0                                10.0              41.134361                   31.82                    51.455296              0.237567
2023-05-01T04:23:00+00:00       88.587082                           60.0       283.836243          40.739578    37.630211            13.815491            13.351125            23.005989                        972.618469                     2.362205                    0.0  0.815050           0.0                                15.0              41.018257                   31.82                    51.431511              0.847298
2023-05-01T04:33:00+00:00       87.730278                            0.0       279.003845          40.445812    37.093346            12.171729            16.314890            27.325964                        972.558777                     0.000000                    0.0  0.817128           0.0                                15.0              40.855026                   31.82                    51.402985              0.491621
2023-05-01T04:43:00+00:00       86.588570                            0.0       286.377136          40.445812    36.760643            23.120302            14.719443            27.903549                        972.461060                     0.000000                    0.0  0.817425           0.0                                15.0              40.645245                   31.82                    51.374405              0.440810
2023-05-01T04:53:00+00:00       86.620560                           60.0       279.251801          40.298222    36.624847            13.118358            14.115067            24.906168                        972.429565                    51.968506                    0.0  0.816534           0.0                                15.0              40.553104                   31.82                    51.350582              0.593243
2023-05-01T05:03:00+00:00       87.157280                           60.0       282.046356          40.001610    36.489624            10.190338            14.263871            22.471371                        972.300781                     2.362205                    0.0  0.812082           0.0                                15.0              40.404922                   31.82                    51.322002              1.355407
2023-05-01T05:13:00+00:00       88.048393                           60.0       281.245453          40.001610    36.747627            13.949522            11.671252            21.411875                        972.321899                     2.362205                    0.0  0.814753           0.0                                15.0              40.314426                   31.82                    51.293373              0.898109
2023-05-01T05:23:00+00:00       87.352112                           60.0       285.883728          40.001610    36.546230            14.030858            11.602201            24.013737                        972.317078                     0.000000                    0.0  0.817425           0.0                                15.0              40.232567                   31.82                    51.264759              0.440810
2023-05-01T05:33:00+00:00       87.018166                            0.0       288.358459          40.001610    36.449135            11.991241            12.156093            24.742268                        972.178406                     0.000000                    0.0  0.815347           0.0                                15.0              40.146111                   31.82                    51.236092              0.796487
2023-05-01T05:43:00+00:00       87.355873                            0.0       304.476624          39.852581    36.400600            11.882684            12.579554            20.287064                        972.111816                     0.000000                    0.0  0.816237           0.0                                15.0              40.065376                   31.82                    51.207443              0.644054
2023-05-01T05:53:00+00:00       86.938545                            0.0       294.368195          39.852581    36.279293             9.068074            12.032181            22.504471                        972.067932                     0.000000                    0.0  0.814160           0.0                                15.0              39.720600                   31.82                    51.178749              0.999731
2023-05-01T06:03:00+00:00       86.910728                            0.0       285.998871          39.852581    36.271191            10.839678            11.619197            22.527058                        972.037537                     0.000000                    0.0  0.817128           0.0                                15.0              39.712379                   31.82                    51.150066              0.491621
2023-05-01T06:13:00+00:00       87.188927                            0.0       287.070129          39.852581    36.352135            14.024001            12.645802            21.879730                        972.090576                     0.000000                    0.0  0.816237           0.0                                15.0              39.751247                   31.82                    51.116531              0.644054
2023-05-01T06:23:00+00:00       87.244576                            0.0       289.624664          39.852581    36.368298            10.535931            13.921368            26.610886                        971.812744                     0.000000                    0.0  0.817722           0.0                                10.0              39.720608                   31.82                    51.087807              0.389999
2023-05-01T06:33:00+00:00       87.801331                            0.0       281.370270          39.852581    36.529518            12.938018            13.101451            19.527622                        971.542297                     0.000000                    0.0  0.818315           0.0                                10.0              39.775913                   31.82                    51.059044              0.288377
2023-05-01T06:43:00+00:00       87.745667                            0.0       289.089172          39.852581    36.513439            14.845014            13.222590            22.009298                        971.573608                     0.000000                    0.0  0.818612           0.0                                10.0              39.740784                   31.82                    51.030285              0.237567
2023-05-01T06:53:00+00:00       88.344635                            0.0       288.395416          39.767204    36.601803            12.471763            12.517902            22.682432                        971.382141                     0.000000                    0.0  0.818612           0.0                                10.0              39.629986                   31.82                    50.996696              0.237567
2023-05-01T07:03:00+00:00       88.529312                            0.0       281.520477          39.703068    36.591522            14.614227            14.455694            23.825645                        971.418213                     0.000000                    0.0  0.818909           0.0                                10.0              39.620995                   31.82                    50.967873              0.186756
2023-05-01T07:13:00+00:00       89.425293                            0.0       279.350433          39.553074    36.698975            11.774618            11.897739            22.005081                        971.236572                     0.000000                    0.0  0.818909           0.0                                10.0              39.653973                   31.82                    50.934242              0.186756
2023-05-01T07:23:00+00:00       89.931015                            0.0       285.703735          39.402588    36.693443            12.266470            12.129110            23.869160                        971.308472                     0.000000                    0.0  0.818909           0.0                                10.0              39.610497                   31.82                    50.905411              0.186756
2023-05-01T07:33:00+00:00       90.520775                           69.0       284.373108          39.251617    36.710094             7.756825            12.387396            22.039080                        971.240540                     2.362205                    0.0  0.816831           0.0                                15.0              39.534672                   31.82                    50.871704              0.542432
2023-05-01T07:43:00+00:00       91.399307                           69.0       277.704956          38.817631    36.525784            13.025720            11.540395            19.644680                        971.023132                     0.000000                    0.0  0.818018           0.0                                10.0              39.412739                   31.82                    50.838005              0.339188
2023-05-01T07:53:00+00:00       92.243507                            0.0       289.992218          38.672958    36.615669            11.138700            13.786144            22.508095                        970.933411                     0.000000                    0.0  0.815347           0.0                                15.0              39.303284                   31.82                    50.809120              0.796487
2023-05-01T08:03:00+00:00       93.120087                           69.0       292.608215          38.382183    36.567276            16.073044            13.855645            22.175922                        970.900696                     4.724410                    0.0  0.817128           0.0                                15.0              39.195797                   31.82                    50.775375              0.491621
2023-05-01T08:13:00+00:00       92.870316                           69.0       281.382416          38.236080    36.354321            15.469842            14.489611            26.774937                        970.944275                     0.000000                    0.0  0.816534           0.0                                15.0              39.043846                   31.82                    50.741611              0.593243
2023-05-01T08:23:00+00:00       93.066910                           69.0       279.193542          38.236080    36.407894            11.786578            14.621471            26.595924                        970.806946                     0.000000                    0.0  0.815347           0.0                                15.0              38.950874                   31.82                    50.707787              0.796487
2023-05-01T08:33:00+00:00       93.038811                            0.0       285.213959          38.236080    36.400242            14.661489            13.420659            25.064075                        970.721313                     0.000000                    0.0  0.816237           0.0                                15.0              38.868526                   31.82                    50.673981              0.644054
2023-05-01T08:43:00+00:00       92.729996                           69.0       281.978058          38.236080    36.316017             8.745914            13.449499            21.735962                        970.685791                     2.362205                    0.0  0.812675           0.0                                15.0              38.856224                   31.82                    50.640144              1.253786
2023-05-01T08:53:00+00:00       92.704880                            0.0       275.794769          38.089493    36.163841            14.215352            13.943133            23.359911                        970.704041                     0.000000                    0.0  0.815050           0.0                                15.0              38.791061                   31.82                    50.606277              0.847298
2023-05-01T09:03:00+00:00       93.128716                           69.0       288.102173          37.942421    36.133446            12.134583            12.874377            21.259083                        970.658264                     0.000000                    0.0  0.810004           0.0                                15.0              38.780914                   31.82                    50.572392              1.711084
2023-05-01T09:13:00+00:00       92.455353                            0.0       277.839264          37.942421    35.949871            16.749313            14.948337            22.656868                        970.712463                     0.000000                    0.0  0.815644           0.0                                15.0              38.686565                   31.82                    50.538483              0.745676
2023-05-01T09:23:00+00:00       93.327972                            0.0       284.152649          37.794865    36.041153            16.346052            12.577082            21.367796                        970.644592                     0.000000                    0.0  0.815644           0.0                                15.0              38.603622                   31.82                    50.504551              0.745676
2023-05-01T09:33:00+00:00       93.271767                           69.0       281.795715          37.794865    36.025913            14.830723            13.903627            23.634430                        970.355408                     4.724410                    0.0  0.818315           0.0                                10.0              38.542400                   31.82                    50.470596              0.288377
2023-05-01T09:43:00+00:00       92.878822                           69.0       276.062042          37.794865    35.919147             9.851604            14.287442            21.699364                        970.180603                     0.000000                    0.0  0.815050           0.0                                15.0              38.531460                   31.82                    50.436615              0.847298
2023-05-01T09:54:00+00:00       93.133980                           69.0       296.910889          37.646812    35.841675            11.791495            14.096958            26.175062                        970.274902                     4.724410                    0.0  0.812972           0.0                                15.0              38.378647                   31.82                    50.397736              1.202975
2023-05-01T10:03:00+00:00       93.442863                           69.0       279.138031          37.646812    35.925377            10.939722            12.886272            24.172750                        970.293335                     0.000000                    0.0  0.815941           0.0                                15.0              38.338326                   31.82                    50.368546              0.694865
2023-05-01T10:13:00+00:00       92.738548                           69.0       281.375183          37.794865    35.880936            16.064020            14.285239            25.545345                        970.186646                     2.362205                    0.0  0.815941           0.0                                15.0              38.322922                   31.82                    50.329647              0.694865
2023-05-01T10:23:00+00:00       92.031502                           69.0       292.532837          37.921371    35.812862            20.747410            15.097224            25.113865                        970.256409                     0.000000                    0.0  0.816534           0.0                                15.0              38.345657                   31.82                    50.295567              0.593243
2023-05-01T10:33:00+00:00       92.206009                           69.0       288.335968          37.794865    35.735405            12.488534            15.115179            23.602690                        970.001526                     2.362205                    0.0  0.815050           0.0                                15.0              38.352261                   31.82                    50.261429              0.847298
2023-05-01T10:43:00+00:00       93.155838                           69.0       295.465027          37.773739    35.973503             8.267458            14.131604            24.178129                        969.903076                     2.362205                    0.0  0.816534           0.0                                15.0              38.369118                   31.82                    50.222443              0.593243
2023-05-01T10:53:00+00:00       92.878822                           69.0       293.899506          37.794865    35.919147            12.934809            15.196434            25.327837                        969.805725                     2.362205                    0.0  0.814753           0.0                                15.0              38.377911                   31.82                    50.188286              0.898109
2023-05-01T11:03:00+00:00       93.412262                           69.0       281.298889          37.794865    36.063992            15.397084            12.785010            21.087845                        969.931152                     4.724410                    0.0  0.818018           0.0                                10.0              38.486919                   31.82                    50.154068              0.339188
2023-05-01T11:13:00+00:00       92.557404                           69.0       284.908203          38.047523    36.081940            18.695234            15.052289            24.266760                        969.993896                     2.362205                    0.0  0.815644           0.0                                15.0              38.481083                   31.82                    50.114998              0.745676
2023-05-01T11:23:00+00:00       92.203117                           69.0       280.375397          37.942421    35.880802            20.126448            16.132097            30.690086                        970.044006                     0.000000                    0.0  0.818315           0.0                                10.0              38.491299                   31.82                    50.080761              0.288377
2023-05-01T11:33:00+00:00       92.037910                           69.0       282.111908          37.794865    35.689316            18.365578            15.767115            29.709246                        970.094971                     2.362205                    0.0  0.812379           0.0                                15.0              38.486927                   31.82                    50.046505              1.304596
2023-05-01T11:43:00+00:00       91.900787                           69.0       291.317627          37.646812    35.505039            14.991996            16.440813            24.746878                        970.242188                     4.724410                    0.0  0.812675           0.0                                15.0              38.498604                   31.82                    50.007309              1.253786
2023-05-01T11:53:00+00:00       93.274330                           69.0       275.256683          37.646812    35.879742            13.191320            14.310109            28.020142                        970.109497                     2.362205                    0.0  0.815347           0.0                                15.0              38.720703                   31.82                    49.973351              0.796487
2023-05-01T12:03:00+00:00       93.389091                            0.0       275.114258          37.498276    35.763447            15.739533            14.983713            26.361866                        970.204895                     0.000000                    0.0  0.815050           0.0                                15.0              38.788883                   31.82                    49.940773              0.847298
2023-05-01T12:13:00+00:00       93.470917                            0.0       287.143982          37.646812    35.932964            19.142296            15.505451            24.157076                        970.121460                     0.000000                    0.0  0.818315           0.0                                10.0              38.938614                   31.82                    49.903496              0.288377
2023-05-01T12:23:00+00:00       92.289993                           69.0       274.674713          37.794865    35.758404            18.367281            16.643002            28.095030                        970.134827                     2.362205                    0.0  0.818315           0.0                                10.0              39.133709                   31.82                    49.870865              0.288377
2023-05-01T12:33:00+00:00       93.075233                            0.0       284.922302          37.794865    35.972565            17.416214            15.102420            26.823761                        970.247314                     0.000000                    0.0  0.816534           0.0                                15.0              39.233677                   31.82                    49.833527              0.593243
2023-05-01T12:43:00+00:00       92.819939                            0.0       288.992004          37.942421    36.049412            20.625879            15.230968            26.268778                        970.166321                     0.000000                    0.0  0.818909           0.0                                10.0              39.231403                   31.82                    49.800846              0.186756
2023-05-01T12:53:00+00:00       92.800903                           69.0       281.346252          37.667999    35.772144            19.499485            15.398740            24.695608                        970.039673                     9.448819                    0.0  0.818018           0.0                                10.0              39.198830                   31.82                    49.768143              0.339188
