              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Wind Direction (max)  Saline Concentration%  Road Condition Lufftlogic  Friction  Surface TemperatureF  Freezing TemperatureF  Water Film Heightmil  Ice Percent%  Road Condition Lufft IRS31Prologic
2023-01-01T05:01:00+00:00       91.161171                           69.0       119.413811          30.039492    27.773506             5.077908                        981.661316             4.946376                     0.023622             130.768127               0.910585                        5.0  0.432342              30.985348               31.038168             11.961037     54.494061                                35.0
2023-01-01T05:10:00+00:00       91.769516                           69.0        94.862114          30.390520    28.283226             7.016145                        981.616272             5.083244                     0.023622              97.815758               0.764475                        5.0  0.384965              31.054491               31.193262             15.690289     61.794506                                35.0
2023-01-01T05:21:00+00:00       92.836563                            0.0       107.910774          30.683271    28.855978             4.710020                        981.413574             4.868972                     0.000000             101.838028               0.842237                        5.0  0.410230              31.019924               31.110760             15.930009     57.909012                                35.0
2023-01-01T05:31:00+00:00       93.578995                           69.0       111.195923          30.833534    29.200203             3.946804                        981.449402             5.638498                     0.047244             101.793655               0.822803                        5.0  0.402562              30.968019               31.131388             16.888889     58.881310                                35.0
2023-01-01T05:40:00+00:00       94.051308                           69.0       125.188759          31.008814    29.497751             5.099590                        981.429871             5.170025                     0.070866             125.461151               0.763881                        5.0  0.382931              30.972359               31.193892             17.128609     61.825752                                35.0
2023-01-01T05:50:00+00:00       94.669411                            0.0       123.078720          31.534691    30.181274             3.815235                        981.246338             4.264674                     0.000000              92.484291               0.818087                        5.0  0.400693              30.955023               31.136393             16.649170     59.117256                                35.0
2023-01-01T06:01:00+00:00       95.101707                            0.0       127.596786          32.097561    30.853191             7.369936                        981.062927             5.412273                     0.000000             139.031967               0.651801                        5.0  0.345404              30.972359               31.312651             16.049870     67.426842                                35.0
2023-01-01T06:11:00+00:00       95.245537                            0.0       128.503067          32.595352    31.385578             6.131567                        980.595947             7.304277                     0.000000             124.775642               0.534705                        5.0  0.306776              30.998306               31.436533             15.090988     73.278290                                35.0
2023-01-01T06:21:00+00:00       95.173454                            0.0       146.789764          32.814968    31.585215            12.072171                        980.393860             8.446719                     0.000000             127.808060               0.819555                        5.0  0.400506              30.924700               31.134834             15.810148     59.044498                                35.0
2023-01-01T06:31:00+00:00       94.955070                            0.0       140.091339          32.993393    31.705654             6.362321                        980.094055             7.515427                     0.000000             128.488663               0.911666                        5.0  0.432123              30.959368               31.037020             14.971128     54.440643                                35.0
2023-01-01T06:41:00+00:00       94.471313                            0.0       128.087112          32.924271    31.510330             4.336180                        980.186951             5.518712                     0.000000             133.724365               0.828371                        5.0  0.405491              31.015617               31.125477             15.090988     58.602028                                35.0
2023-01-01T06:51:00+00:00       94.098015                            0.0       130.102936          33.007206    31.494608             5.472304                        980.108643             5.034740                     0.000000             108.632042               0.830205                        5.0  0.407553              31.080372               31.123531             14.371828     58.509022                                35.0
2023-01-01T07:01:00+00:00       93.778275                            0.0       130.722809          33.236652    31.638054             6.386527                        980.111450             4.564446                     0.000000             129.261856               0.846381                        5.0  0.414320              31.140736               31.106361             13.827723     57.699337                                30.0
2023-01-01T07:11:00+00:00       93.170898                            0.0       154.168365          33.083710    31.325283             3.647502                        980.226440             4.679001                     0.000000             156.555283               0.847495                        5.0  0.416232              31.209560               31.105177             13.318625     57.642151                                30.0
2023-01-01T07:21:00+00:00       92.504044                            0.0       158.014679          33.378372    31.439573             4.468017                        980.217957             5.370922                     0.000000             155.687469               0.856641                        5.0  0.419872              31.235350               31.095467             13.318625     57.184509                                30.0
2023-01-01T07:31:00+00:00       91.487030                            0.0       165.992752          33.393406    31.180761             9.163467                        980.198120             8.040352                     0.000000             161.592377               0.860548                        5.0  0.421852              31.265390               31.091318             14.371828     56.988548                                30.0
