              MeasureTime  Rel. Humidity%  Wind Direction  Brightnesslx  Air TemperatureF  Wind Speed (act)mph  Precipitation Intensityin/h  Visibilitymiles  Saline Concentration%  Friction  Ice Percent%  Road Condition Lufft IRS31Prologic  Surface TemperatureF  Freezing TemperatureF  Sub Surface Temperature 3F  Water Film Heightmil  ground temperature (0")F  ground temperature (3")F  ground temperature (6")F  ground temperature (9")F  ground temperature (12")F  ground temperature (18")F  ground temperature (24")F  ground temperature (30")F  ground temperature (36")F  ground temperature (42")F
2023-08-01T04:09:00+00:00       56.689563         0.574863           0.0          72.148361                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              80.415970                    85.0                         84.0              0.000000                        40.0                   72.769997                   72.949997                   72.572006                    72.104004                    71.276001                    70.519997                    69.709999                    69.188004                    68.522003
2023-08-01T04:19:00+00:00       56.982605         0.574863           0.0          72.076928                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              80.146652                    85.0                         84.0              0.000000                        40.0                   72.643997                   72.914001                   72.554001                    72.139999                    71.311996                    70.591995                    69.709999                    69.151993                    68.503998
2023-08-01T04:29:00+00:00       58.991150         0.581044           0.0          71.192309                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              79.737602                    85.0                         84.0              0.000000                        40.0                   72.572006                   72.841995                   72.535995                    72.085999                    71.330002                    70.556000                    69.692001                    69.188004                    68.539993
2023-08-01T04:39:00+00:00       58.908734         0.574863           0.0          70.939567                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              79.368523                    85.0                         84.0              0.000000                        40.0                   72.463997                   72.787994                   72.463997                    72.122002                    71.330002                    70.537994                    69.709999                    69.188004                    68.503998
2023-08-01T04:50:00+00:00       58.502753         0.581044           0.0          70.840668                  0.0                     0.000000         4.293674                   85.0  0.820000          85.0                                10.0              79.193863                    85.0                         84.0              0.000000                        40.0                   72.374001                   72.769997                   72.481995                    72.104004                    71.311996                    70.556000                    69.727997                    69.151993                    68.503998
2023-08-01T04:59:00+00:00       58.969781         0.574863           0.0          70.601650                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              78.934784                    85.0                         84.0              0.000000                        40.0                   72.283997                   72.680000                   72.463997                    72.122002                    71.365997                    70.574005                    69.673996                    69.188004                    68.468002
2023-08-01T05:10:00+00:00       58.533276         0.574863           0.0          70.409345                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              78.665359                    85.0                         84.0              0.000000                        40.0                   72.175995                   72.572006                   72.445999                    72.122002                    71.293999                    70.556000                    69.692001                    69.134003                    68.522003
2023-08-01T05:19:00+00:00       59.609283         0.568681           0.0          69.936818                  0.0                     0.000000         4.337170                   85.0  0.820000          85.0                                10.0              78.410080                    85.0                         84.0              0.000000                        40.0                   72.068001                   72.554001                   72.391998                    72.139999                    71.365997                    70.591995                    69.692001                    69.188004                    68.503998
2023-08-01T05:29:00+00:00       59.073566         0.581044           0.0          69.640117                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              78.181038                    85.0                         84.0              0.000000                        40.0                   71.959999                   72.517998                   72.374001                    72.104004                    71.348000                    70.591995                    69.709999                    69.151993                    68.503998
2023-08-01T05:39:00+00:00       60.053424         0.574863           0.0          69.453298                  0.0                     0.000000         4.411734                   85.0  0.820000          85.0                                10.0              77.910782                    85.0                         84.0              0.000000                        40.0                   71.888000                   72.427994                   72.337997                    72.139999                    71.348000                    70.574005                    69.692001                    69.188004                    68.486000
