              MeasureTime  Rel. Humidity%  Precipitation Type Lufftlogic  Wind Direction  Air TemperatureF  Dew PointF  Wind Speed (act)mph  Wind Speed (max)mph  Absolute Atmospheric PressurehPa  Wind Speed (vct)mph  Precipitation Intensityin/h  Saline Concentration%  Road Condition Lufftlogic  Friction  Ice Percent%  Surface TemperatureF  Freezing TemperatureF  Water Film Heightmil  Road Condition Lufft IRS31Prologic  Sub Surface Temperature 1F
2023-09-01T04:09:00+00:00       72.118721                            0.0       158.015152          60.273190    51.250622             4.294842            10.927273                        961.809387             3.596548                     0.000000                   85.0                        0.0  0.820000          85.0              70.598717                    85.0              0.000000                                10.0                    64.705994
2023-09-01T04:19:00+00:00       72.056198                            0.0       167.389267          60.472256    51.418552             6.053378            12.726323                        961.788696             5.363861                     0.000000                   85.0                        0.0  0.820000          85.0              70.300293                    85.0              0.000000                                10.0                    64.688004
2023-09-01T04:29:00+00:00       71.527565                            0.0       173.579300          60.489223    51.235477             6.354126            11.598163                        961.757935             4.753512                     0.000000                   85.0                        0.0  0.820000          85.0              69.970016                    85.0              0.000000                                10.0                    64.688004
2023-09-01T04:39:00+00:00       71.265770                            0.0       155.868073          60.518497    51.164352             6.138607            14.297880                        961.746216             5.405975                     0.000000                   85.0                        0.0  0.820000          85.0              69.527092                    85.0              0.000000                                10.0                    64.669998
2023-09-01T04:49:00+00:00       71.140732                            0.0       156.643234          60.464020    51.064537             3.883737            11.687846                        961.842896             6.311972                     0.000000                   85.0                        0.0  0.820000          85.0              69.173508                    85.0              0.000000                                10.0                    64.705994
2023-09-01T04:59:00+00:00       70.131241                            0.0       151.817780          60.654934    50.861294             8.866429            12.451950                        961.933960             5.799527                     0.000000                   85.0                        0.0  0.820000          85.0              68.847794                    85.0              0.000000                                10.0                    64.688004
2023-09-01T05:09:00+00:00       70.140045                            0.0       145.148712          60.490585    50.707165             6.088021            10.583551                        961.911865             4.781058                     0.000000                   85.0                        0.0  0.820000          85.0              68.615891                    85.0              0.000000                                10.0                    64.705994
2023-09-01T05:19:00+00:00       69.924957                            0.0       134.791245          60.660408    50.786949             4.279725            12.464161                        961.900330             7.780559                     0.000000                   85.0                        0.0  0.820000          85.0              68.389160                    85.0              0.000000                                10.0                    64.688004
2023-09-01T05:29:00+00:00       69.248772                            0.0       145.132965          60.457191    50.330112             3.105991            16.193790                        962.025757             6.380746                     0.000000                   85.0                        0.0  0.820000          85.0              68.149734                    85.0              0.000000                                10.0                    64.705994
2023-09-01T05:39:00+00:00       69.574516                            0.0       145.747299          60.459930    50.459297             5.872728            13.820748                        961.840088             6.120882                     0.000000                   85.0                        0.0  0.820000          85.0              67.901093                    85.0              0.000000                                10.0                    64.669998
