Model,Epoch,Train Loss,Validation Loss,Train MSE,Validation MSE,Train MAE,Validation MAE
Simple LSTM,1,4623.7041015625,4531.43505859375,4623.7041015625,4531.43505859375,60.711448669433594,59.81781768798828
Simple LSTM,2,4552.30712890625,4460.9990234375,4552.30712890625,4460.9990234375,60.11531066894531,59.227752685546875
Simple LSTM,3,4486.9619140625,4401.57470703125,4486.9619140625,4401.57470703125,59.574134826660156,58.72844696044922
Simple LSTM,4,4423.42626953125,4333.63330078125,4423.42626953125,4333.63330078125,59.041847229003906,58.15292739868164
Simple LSTM,5,4356.48095703125,4270.8974609375,4356.48095703125,4270.8974609375,58.48116683959961,57.61771011352539
Simple LSTM,6,4294.63916015625,4210.75390625,4294.63916015625,4210.75390625,57.95383834838867,57.1002311706543
Simple LSTM,7,4234.8349609375,4152.38232421875,4234.8349609375,4152.38232421875,57.44428634643555,56.593868255615234
Simple LSTM,8,4174.67578125,4091.806396484375,4174.67578125,4091.806396484375,56.9272346496582,56.0638313293457
Simple LSTM,9,4115.2353515625,4034.627685546875,4115.2353515625,4034.627685546875,56.40949630737305,55.55927276611328
Simple LSTM,10,4057.971435546875,3978.50146484375,4057.971435546875,3978.50146484375,55.90871047973633,55.05982971191406
Simple LSTM,11,4001.614990234375,3923.187744140625,4001.614990234375,3923.187744140625,55.413177490234375,54.564300537109375
Simple LSTM,12,3946.113525390625,3868.60302734375,3946.113525390625,3868.60302734375,54.91765213012695,54.07014083862305
Simple LSTM,13,3891.3369140625,3814.882568359375,3891.3369140625,3814.882568359375,54.427574157714844,53.58023452758789
Simple LSTM,14,3837.335205078125,3761.7666015625,3837.335205078125,3761.7666015625,53.93834686279297,53.092193603515625
Simple LSTM,15,3783.995849609375,3709.380126953125,3783.995849609375,3709.380126953125,53.45295715332031,52.60698699951172
Simple LSTM,16,3731.3046875,3657.6748046875,3731.3046875,3657.6748046875,52.97017288208008,52.12387466430664
Simple LSTM,17,3679.2265625,3606.435546875,3679.2265625,3606.435546875,52.488075256347656,51.64228439331055
Simple LSTM,18,3627.77587890625,3555.920654296875,3627.77587890625,3555.920654296875,52.00732421875,51.16341018676758
Simple LSTM,19,3576.890869140625,3505.911376953125,3576.890869140625,3505.911376953125,51.53219223022461,50.686912536621094
Simple LSTM,20,3526.612060546875,3456.43359375,3526.612060546875,3456.43359375,51.05638885498047,50.21300506591797
Simple LSTM,21,3476.91064453125,3407.605712890625,3476.91064453125,3407.605712890625,50.58491516113281,49.74238967895508
Simple LSTM,22,3427.767822265625,3359.39453125,3427.767822265625,3359.39453125,50.11632537841797,49.2751579284668
Simple LSTM,23,3379.204345703125,3311.67333984375,3379.204345703125,3311.67333984375,49.64732360839844,48.80902099609375
Simple LSTM,24,3331.209228515625,3264.43505859375,3331.209228515625,3264.43505859375,49.1812629699707,48.3446044921875
Simple LSTM,25,3283.73828125,3217.940185546875,3283.73828125,3217.940185546875,48.72043228149414,47.88402557373047
Simple LSTM,26,3236.794189453125,3171.7861328125,3236.794189453125,3171.7861328125,48.25840759277344,47.423919677734375
Simple LSTM,27,3190.364990234375,3126.24560546875,3190.364990234375,3126.24560546875,47.7997932434082,46.9674186706543
Simple LSTM,28,3144.44677734375,3081.124267578125,3144.44677734375,3081.124267578125,47.34612274169922,46.51235580444336
Simple LSTM,29,3099.067626953125,3036.506103515625,3099.067626953125,3036.506103515625,46.88691711425781,46.060401916503906
Simple LSTM,30,3054.20556640625,2992.594482421875,3054.20556640625,2992.594482421875,46.43787384033203,45.612548828125
Simple LSTM,31,3009.86376953125,2949.067626953125,3009.86376953125,2949.067626953125,45.990440368652344,45.165748596191406
Simple LSTM,32,2965.9912109375,2906.06494140625,2965.9912109375,2906.06494140625,45.54470443725586,44.72197723388672
Simple LSTM,33,2922.632080078125,2863.5615234375,2922.632080078125,2863.5615234375,45.10120391845703,44.281005859375
Simple LSTM,34,2879.7783203125,2821.498291015625,2879.7783203125,2821.498291015625,44.660369873046875,43.8443717956543
Simple LSTM,35,2837.424072265625,2779.982177734375,2837.424072265625,2779.982177734375,44.2233772277832,43.408058166503906
Simple LSTM,36,2795.551513671875,2738.9736328125,2795.551513671875,2738.9736328125,43.788238525390625,42.975608825683594
Simple LSTM,37,2754.1376953125,2698.3974609375,2754.1376953125,2698.3974609375,43.35853576660156,42.55043411254883
Simple LSTM,38,2713.236083984375,2658.22900390625,2713.236083984375,2658.22900390625,42.929534912109375,42.12590789794922
Simple LSTM,39,2672.836669921875,2618.64697265625,2672.836669921875,2618.64697265625,42.50420379638672,41.70147705078125
Simple LSTM,40,2632.89404296875,2579.22900390625,2632.89404296875,2579.22900390625,42.08256530761719,41.274559020996094
Simple LSTM,41,2593.183837890625,2540.632080078125,2593.183837890625,2540.632080078125,41.660125732421875,40.8580322265625
Simple LSTM,42,2554.186279296875,2502.34521484375,2554.186279296875,2502.34521484375,41.245052337646484,40.45246505737305
Simple LSTM,43,2515.6494140625,2464.699462890625,2515.6494140625,2464.699462890625,40.83877182006836,40.04832458496094
Simple LSTM,44,2477.6044921875,2427.377197265625,2477.6044921875,2427.377197265625,40.434574127197266,39.6466178894043
Simple LSTM,45,2440.0009765625,2390.686767578125,2440.0009765625,2390.686767578125,40.03642654418945,39.253265380859375
Simple LSTM,46,2402.89453125,2354.229736328125,2402.89453125,2354.229736328125,39.64276885986328,38.862674713134766
Simple LSTM,47,2366.2470703125,2318.456787109375,2366.2470703125,2318.456787109375,39.25497055053711,38.48252487182617
Simple LSTM,48,2330.052734375,2283.165771484375,2330.052734375,2283.165771484375,38.87160110473633,38.10832214355469
Simple LSTM,49,2294.339111328125,2248.0341796875,2294.339111328125,2248.0341796875,38.49356460571289,37.7318115234375
Simple LSTM,50,2259.050537109375,2213.589599609375,2259.050537109375,2213.589599609375,38.12211990356445,37.36779022216797
Simple LSTM,51,2224.206787109375,2179.5859375,2224.206787109375,2179.5859375,37.75619125366211,37.010135650634766
Simple LSTM,52,2189.80322265625,2145.9501953125,2189.80322265625,2145.9501953125,37.39493179321289,36.65093231201172
Simple LSTM,53,2155.793701171875,2112.64794921875,2155.793701171875,2112.64794921875,37.03602981567383,36.30095291137695
Simple LSTM,54,2122.251953125,2079.835693359375,2122.251953125,2079.835693359375,36.684295654296875,35.9610710144043
Simple LSTM,55,2089.197265625,2047.5506591796875,2089.197265625,2047.5506591796875,36.33976745605469,35.620262145996094
Simple LSTM,56,2056.538330078125,2015.607421875,2056.538330078125,2015.607421875,35.99923324584961,35.28042221069336
Simple LSTM,57,2024.33544921875,1984.1031494140625,2024.33544921875,1984.1031494140625,35.662353515625,34.95453643798828
Simple LSTM,58,1992.5169677734375,1952.999267578125,1992.5169677734375,1952.999267578125,35.3309211730957,34.627662658691406
Simple LSTM,59,1961.1185302734375,1922.452392578125,1961.1185302734375,1922.452392578125,35.004146575927734,34.31028366088867
Simple LSTM,60,1930.1318359375,1892.23046875,1930.1318359375,1892.23046875,34.684303283691406,33.997230529785156
Simple LSTM,61,1899.52685546875,1862.1514892578125,1899.52685546875,1862.1514892578125,34.36782455444336,33.68090057373047
Simple LSTM,62,1869.069580078125,1831.4423828125,1869.069580078125,1831.4423828125,34.04502487182617,33.341468811035156
Simple LSTM,63,1838.171630859375,1801.9293212890625,1838.171630859375,1801.9293212890625,33.70740509033203,33.02606201171875
Simple LSTM,64,1808.345947265625,1772.9512939453125,1808.345947265625,1772.9512939453125,33.393394470214844,32.72972106933594
Simple LSTM,65,1779.1260986328125,1744.3203125,1779.1260986328125,1744.3203125,33.088680267333984,32.43196105957031
Simple LSTM,66,1750.2474365234375,1716.1268310546875,1750.2474365234375,1716.1268310546875,32.790733337402344,32.13909149169922
Simple LSTM,67,1721.743408203125,1688.2799072265625,1721.743408203125,1688.2799072265625,32.49337387084961,31.853742599487305
Simple LSTM,68,1693.65087890625,1660.8631591796875,1693.65087890625,1660.8631591796875,32.20273208618164,31.574586868286133
Simple LSTM,69,1665.86767578125,1633.901611328125,1665.86767578125,1633.901611328125,31.912019729614258,31.299549102783203
Simple LSTM,70,1638.47216796875,1606.9951171875,1638.47216796875,1606.9951171875,31.626262664794922,31.014986038208008
Simple LSTM,71,1611.357666015625,1580.573486328125,1611.357666015625,1580.573486328125,31.33536148071289,30.76013946533203
Simple LSTM,72,1584.5604248046875,1554.3675537109375,1584.5604248046875,1554.3675537109375,31.05013084411621,30.466049194335938
Simple LSTM,73,1558.1678466796875,1528.60009765625,1558.1678466796875,1528.60009765625,30.76938819885254,30.20378303527832
Simple LSTM,74,1532.1632080078125,1503.1033935546875,1532.1632080078125,1503.1033935546875,30.4895076751709,29.922286987304688
Simple LSTM,75,1506.42626953125,1477.9951171875,1506.42626953125,1477.9951171875,30.214710235595703,29.663860321044922
Simple LSTM,76,1481.1611328125,1453.229248046875,1481.1611328125,1453.229248046875,29.9510498046875,29.3956298828125
Simple LSTM,77,1456.229248046875,1428.8363037109375,1456.229248046875,1428.8363037109375,29.678556442260742,29.139982223510742
Simple LSTM,78,1431.4378662109375,1404.5657958984375,1431.4378662109375,1404.5657958984375,29.409326553344727,28.86233139038086
Simple LSTM,79,1406.8814697265625,1380.7646484375,1406.8814697265625,1380.7646484375,29.12118911743164,28.609914779663086
Simple LSTM,80,1382.782958984375,1357.320556640625,1382.782958984375,1357.320556640625,28.859159469604492,28.376678466796875
Simple LSTM,81,1359.04052734375,1333.8065185546875,1359.04052734375,1333.8065185546875,28.59450912475586,28.08859634399414
Simple LSTM,82,1335.559326171875,1311.36962890625,1335.559326171875,1311.36962890625,28.338958740234375,27.875701904296875
Simple LSTM,83,1312.5074462890625,1288.643798828125,1312.5074462890625,1288.643798828125,28.077232360839844,27.61583709716797
Simple LSTM,84,1289.7169189453125,1266.09814453125,1289.7169189453125,1266.09814453125,27.817462921142578,27.34183692932129
Simple LSTM,85,1267.313720703125,1244.0289306640625,1267.313720703125,1244.0289306640625,27.568836212158203,27.08076286315918
Simple LSTM,86,1245.1488037109375,1222.7835693359375,1245.1488037109375,1222.7835693359375,27.302392959594727,26.875566482543945
Simple LSTM,87,1223.4898681640625,1201.1456298828125,1223.4898681640625,1201.1456298828125,27.065139770507812,26.578697204589844
Simple LSTM,88,1201.862548828125,1180.118408203125,1201.862548828125,1180.118408203125,26.81570053100586,26.34839630126953
Simple LSTM,89,1180.752685546875,1160.651123046875,1180.752685546875,1160.651123046875,26.565046310424805,26.23534393310547
Simple LSTM,90,1159.9837646484375,1139.5841064453125,1159.9837646484375,1139.5841064453125,26.333702087402344,25.93415641784668
