Estimator,Train_RMSE,Train_MAE,Val_RMSE,Val_MAE,Train_MSE,Val_MSE
0,23.55852,19.83091,23.49505,19.79096,555.0038645904001,552.0173745024999
1,21.43949,17.99729,21.39183,17.96688,459.6517314601,457.61039074889993
2,19.54095,16.35296,19.50617,16.32882,381.84872690249995,380.49066806890005
3,17.8461,14.88322,17.82692,14.86694,318.48328521,317.79907668640004
4,16.3332,13.5698,16.32906,13.56102,266.77342224000006,266.6382004836
5,14.98529,12.3973,14.99584,12.39518,224.55891638410003,224.8752173056
6,13.78158,11.34739,13.80597,11.3525,189.9319472964,190.60480764090002
7,12.71235,10.41162,12.75162,10.42438,161.60384252250003,162.60381262440004
8,11.76142,9.57843,11.81504,9.59912,138.33100041639997,139.59517020159998
9,10.91338,8.83314,10.98039,8.86121,119.1018630244,120.5689645521
10,10.16562,8.17524,10.24746,8.21247,103.33982998440001,105.0104364516
11,9.5022,7.59043,9.59996,7.63711,90.29180484,92.15923200159999
12,8.9188,7.07452,9.03295,7.13179,79.54499343999998,81.5941857025
13,8.40421,6.61767,8.53363,6.68487,70.63074572410001,72.82284097690001
14,7.95093,6.21411,8.09502,6.29136,63.217287864899994,65.5293488004
15,7.5519,5.8574,7.71051,5.94435,57.031193609999995,59.4519644601
16,7.19902,5.54175,7.37227,5.63845,51.8258889604,54.3503649529
17,6.89135,5.26404,7.07785,5.36992,47.4907048225,50.095960622499994
18,6.6176,5.01629,6.81596,5.12998,43.792629760000004,46.457310721599995
19,6.37405,4.79367,6.58498,4.91536,40.628513402500005,43.3619616004
20,6.15846,4.59544,6.38164,4.72423,37.926629571599996,40.7253290896
21,5.96621,4.41759,6.20212,4.55416,35.5956617641,38.4662924944
22,5.79663,4.259,6.04488,4.40217,33.60091935690001,36.5405742144
23,5.64449,4.11701,5.90445,4.26628,31.860267360100003,34.8625298025
24,5.51031,3.99077,5.78079,4.14605,30.363516296099995,33.417533024099995
25,5.39041,3.87658,5.6704,4.03743,29.0565199681,32.15343616
26,5.28121,3.77341,5.571,3.93942,27.891179064099997,31.036040999999997
27,5.18453,3.68188,5.48315,3.85279,26.879351320899996,30.064933922500003
28,5.09769,3.59979,5.40541,3.7753,25.9864433361,29.218457268099996
29,5.01927,3.52677,5.33483,3.70573,25.193071332899997,28.460411128900002
30,4.94848,3.46095,5.2713,3.6441,24.4874543104,27.78660369
31,4.88294,3.40162,5.21341,3.58898,23.843103043599996,27.179643828099998
32,4.82633,3.35022,5.16429,3.5417,23.293461268899996,26.669891204100004
33,4.77155,3.30166,5.11577,3.49634,22.767689402500004,26.171102692900003
34,4.72257,3.25841,5.07327,3.45623,22.302667404900003,25.7380684929
35,4.67663,3.21886,5.03342,3.42027,21.870868156900002,25.335316896399995
36,4.63442,3.18314,4.99833,3.38783,21.477848736400006,24.9833027889
37,4.59461,3.14966,4.96408,3.35743,21.110441052100004,24.642090246400002
38,4.55681,3.11855,4.93253,3.32905,20.764517376099995,24.3298522009
39,4.52146,3.08964,4.90311,3.30285,20.4436005316,24.0404876721
40,4.48904,3.06304,4.87753,3.2795,20.151480121600002,23.7902989009
41,4.45846,3.039,4.85353,3.25879,19.877865571599997,23.5567534609
42,4.4296,3.01621,4.83031,3.23873,19.621356159999998,23.331894696099997
43,4.40259,2.99491,4.80938,3.22005,19.3827987081,23.1301359844
44,4.37601,2.97458,4.78947,3.20267,19.1494635201,22.939022880899998
45,4.35037,2.95523,4.76992,3.18611,18.9257191369,22.7521368064
46,4.32729,2.93757,4.75222,3.17122,18.725438744099996,22.583594928400004
47,4.30383,2.92028,4.73487,3.15649,18.522952668899997,22.4189939169
48,4.28146,2.90407,4.71853,3.14296,18.3308997316,22.264525360900002
49,4.26145,2.88904,4.70429,3.13049,18.1599561025,22.130344404100004
50,4.2427,2.87547,4.69115,3.11967,18.00050329,22.006888322500004
51,4.22487,2.8624,4.67818,3.10907,17.849526516900003,21.885368112400002
52,4.20729,2.85016,4.66533,3.09893,17.701289144100002,21.7653040089
53,4.19044,2.83798,4.65403,3.08935,17.559787393599997,21.659995240899995
54,4.17411,2.8258,4.64235,3.07973,17.4231942921,21.551413522500003
55,4.16015,2.8156,4.63256,3.07142,17.3068480225,21.4606121536
56,4.14511,2.80512,4.62238,3.06347,17.1819369121,21.3663968644
57,4.13038,2.79501,4.6129,3.05586,17.0600389444,21.278846409999996
58,4.11499,2.78494,4.60345,3.04853,16.933142700099996,21.191751902499995
59,4.10162,2.77578,4.5953,3.04181,16.823286624399998,21.11678209
60,4.08809,2.76654,4.58689,3.03491,16.712479848100003,21.039559872100003
61,4.07494,2.75733,4.57855,3.02791,16.6051360036,20.9631201025
62,4.06263,2.74845,4.57099,3.02129,16.504962516900004,20.8939495801
63,4.04925,2.73937,4.56218,3.0144,16.3964255625,20.8134863524
64,4.03815,2.73151,4.55516,3.00862,16.3066554225,20.7494826256
65,4.02554,2.72319,4.54656,3.00214,16.204972291600004,20.671207833600004
66,4.01338,2.71498,4.53943,2.99643,16.1072190244,20.606424724900002
67,4.00167,2.70676,4.53189,2.99031,16.0133627889,20.5380269721
68,3.98965,2.69892,4.52469,2.98453,15.9173071225,20.472819596099995
69,3.978,2.69123,4.51702,2.97876,15.824484000000002,20.403469680399997
