[0]	    validation_0-rmse:23.55852	validation_0-mae:19.83091	validation_1-rmse:23.49505	validation_1-mae:19.79096
[1] 	validation_0-rmse:21.43949	validation_0-mae:17.99729	validation_1-rmse:21.39183	validation_1-mae:17.96688
[2]	    validation_0-rmse:19.54095	validation_0-mae:16.35296	validation_1-rmse:19.50617	validation_1-mae:16.32882
[3]	    validation_0-rmse:17.84610	validation_0-mae:14.88322	validation_1-rmse:17.82692	validation_1-mae:14.86694
[4]	    validation_0-rmse:16.33320	validation_0-mae:13.56980	validation_1-rmse:16.32906	validation_1-mae:13.56102
[5]	    validation_0-rmse:14.98529	validation_0-mae:12.39730	validation_1-rmse:14.99584	validation_1-mae:12.39518
[6]	    validation_0-rmse:13.78158	validation_0-mae:11.34739	validation_1-rmse:13.80597	validation_1-mae:11.35250
[7]	    validation_0-rmse:12.71235	validation_0-mae:10.41162	validation_1-rmse:12.75162	validation_1-mae:10.42438
[8]	    validation_0-rmse:11.76142	validation_0-mae:9.57843	validation_1-rmse:11.81504	validation_1-mae:9.59912
[9]	    validation_0-rmse:10.91338	validation_0-mae:8.83314	validation_1-rmse:10.98039	validation_1-mae:8.86121
[10]	validation_0-rmse:10.16562	validation_0-mae:8.17524	validation_1-rmse:10.24746	validation_1-mae:8.21247
[11]	validation_0-rmse:9.50220	validation_0-mae:7.59043	validation_1-rmse:9.59996	validation_1-mae:7.63711
[12]	validation_0-rmse:8.91880	validation_0-mae:7.07452	validation_1-rmse:9.03295	validation_1-mae:7.13179
[13]	validation_0-rmse:8.40421	validation_0-mae:6.61767	validation_1-rmse:8.53363	validation_1-mae:6.68487
[14]	validation_0-rmse:7.95093	validation_0-mae:6.21411	validation_1-rmse:8.09502	validation_1-mae:6.29136
[15]	validation_0-rmse:7.55190	validation_0-mae:5.85740	validation_1-rmse:7.71051	validation_1-mae:5.94435
[16]	validation_0-rmse:7.19902	validation_0-mae:5.54175	validation_1-rmse:7.37227	validation_1-mae:5.63845
[17]	validation_0-rmse:6.89135	validation_0-mae:5.26404	validation_1-rmse:7.07785	validation_1-mae:5.36992
[18]	validation_0-rmse:6.61760	validation_0-mae:5.01629	validation_1-rmse:6.81596	validation_1-mae:5.12998
[19]	validation_0-rmse:6.37405	validation_0-mae:4.79367	validation_1-rmse:6.58498	validation_1-mae:4.91536
[20]	validation_0-rmse:6.15846	validation_0-mae:4.59544	validation_1-rmse:6.38164	validation_1-mae:4.72423
[21]	validation_0-rmse:5.96621	validation_0-mae:4.41759	validation_1-rmse:6.20212	validation_1-mae:4.55416
[22]	validation_0-rmse:5.79663	validation_0-mae:4.25900	validation_1-rmse:6.04488	validation_1-mae:4.40217
[23]	validation_0-rmse:5.64449	validation_0-mae:4.11701	validation_1-rmse:5.90445	validation_1-mae:4.26628
[24]	validation_0-rmse:5.51031	validation_0-mae:3.99077	validation_1-rmse:5.78079	validation_1-mae:4.14605
[25]	validation_0-rmse:5.39041	validation_0-mae:3.87658	validation_1-rmse:5.67040	validation_1-mae:4.03743
[26]	validation_0-rmse:5.28121	validation_0-mae:3.77341	validation_1-rmse:5.57100	validation_1-mae:3.93942
[27]	validation_0-rmse:5.18453	validation_0-mae:3.68188	validation_1-rmse:5.48315	validation_1-mae:3.85279
[28]	validation_0-rmse:5.09769	validation_0-mae:3.59979	validation_1-rmse:5.40541	validation_1-mae:3.77530
[29]	validation_0-rmse:5.01927	validation_0-mae:3.52677	validation_1-rmse:5.33483	validation_1-mae:3.70573
[30]	validation_0-rmse:4.94848	validation_0-mae:3.46095	validation_1-rmse:5.27130	validation_1-mae:3.64410
[31]	validation_0-rmse:4.88294	validation_0-mae:3.40162	validation_1-rmse:5.21341	validation_1-mae:3.58898
[32]	validation_0-rmse:4.82633	validation_0-mae:3.35022	validation_1-rmse:5.16429	validation_1-mae:3.54170
[33]	validation_0-rmse:4.77155	validation_0-mae:3.30166	validation_1-rmse:5.11577	validation_1-mae:3.49634
[34]	validation_0-rmse:4.72257	validation_0-mae:3.25841	validation_1-rmse:5.07327	validation_1-mae:3.45623
[35]	validation_0-rmse:4.67663	validation_0-mae:3.21886	validation_1-rmse:5.03342	validation_1-mae:3.42027
[36]	validation_0-rmse:4.63442	validation_0-mae:3.18314	validation_1-rmse:4.99833	validation_1-mae:3.38783
[37]	validation_0-rmse:4.59461	validation_0-mae:3.14966	validation_1-rmse:4.96408	validation_1-mae:3.35743
[38]	validation_0-rmse:4.55681	validation_0-mae:3.11855	validation_1-rmse:4.93253	validation_1-mae:3.32905
[39]	validation_0-rmse:4.52146	validation_0-mae:3.08964	validation_1-rmse:4.90311	validation_1-mae:3.30285
[40]	validation_0-rmse:4.48904	validation_0-mae:3.06304	validation_1-rmse:4.87753	validation_1-mae:3.27950
[41]	validation_0-rmse:4.45846	validation_0-mae:3.03900	validation_1-rmse:4.85353	validation_1-mae:3.25879
[42]	validation_0-rmse:4.42960	validation_0-mae:3.01621	validation_1-rmse:4.83031	validation_1-mae:3.23873
[43]	validation_0-rmse:4.40259	validation_0-mae:2.99491	validation_1-rmse:4.80938	validation_1-mae:3.22005
[44]	validation_0-rmse:4.37601	validation_0-mae:2.97458	validation_1-rmse:4.78947	validation_1-mae:3.20267
[45]	validation_0-rmse:4.35037	validation_0-mae:2.95523	validation_1-rmse:4.76992	validation_1-mae:3.18611
[46]	validation_0-rmse:4.32729	validation_0-mae:2.93757	validation_1-rmse:4.75222	validation_1-mae:3.17122
[47]	validation_0-rmse:4.30383	validation_0-mae:2.92028	validation_1-rmse:4.73487	validation_1-mae:3.15649
[48]	validation_0-rmse:4.28146	validation_0-mae:2.90407	validation_1-rmse:4.71853	validation_1-mae:3.14296
[49]	validation_0-rmse:4.26145	validation_0-mae:2.88904	validation_1-rmse:4.70429	validation_1-mae:3.13049
[50]	validation_0-rmse:4.24270	validation_0-mae:2.87547	validation_1-rmse:4.69115	validation_1-mae:3.11967
[51]	validation_0-rmse:4.22487	validation_0-mae:2.86240	validation_1-rmse:4.67818	validation_1-mae:3.10907
[52]	validation_0-rmse:4.20729	validation_0-mae:2.85016	validation_1-rmse:4.66533	validation_1-mae:3.09893
[53]	validation_0-rmse:4.19044	validation_0-mae:2.83798	validation_1-rmse:4.65403	validation_1-mae:3.08935
[54]	validation_0-rmse:4.17411	validation_0-mae:2.82580	validation_1-rmse:4.64235	validation_1-mae:3.07973
[55]	validation_0-rmse:4.16015	validation_0-mae:2.81560	validation_1-rmse:4.63256	validation_1-mae:3.07142
[56]	validation_0-rmse:4.14511	validation_0-mae:2.80512	validation_1-rmse:4.62238	validation_1-mae:3.06347
